age,income,loan_amount,credit_score,employment_years,existing_loans,debt_to_income,default
25,30758.2,13173.29,638,26,4,0.427,1
49,71684.65,19958.47,663,3,2,0.262,0
57,60453.96,3727.14,683,0,3,0.065,1
58,68007.64,11730.91,679,24,3,0.152,0
39,35673.75,18830.55,630,20,3,0.59,1
28,58002.72,20436.61,685,21,0,0.354,0
21,20902.43,16195.36,624,15,3,0.687,1
42,15000.0,12692.86,708,18,0,0.887,1
37,57816.57,14040.47,594,15,1,0.338,1
27,77011.95,20923.26,657,10,0,0.279,0
45,60058.74,15271.21,504,25,3,0.266,1
24,53731.08,6665.22,617,7,4,0.085,0
56,51249.32,5132.02,701,22,4,0.088,0
26,36148.69,3082.9,557,0,1,0.11,0
51,50562.78,26644.65,621,25,3,0.584,0
39,63433.69,21459.69,434,27,0,0.361,0
64,46295.56,14148.1,527,20,4,0.397,1
59,70011.74,11369.66,550,25,2,0.167,0
47,58919.5,10408.56,659,8,3,0.121,0
30,61339.59,23745.9,680,27,3,0.332,0
46,72773.26,30235.47,645,26,2,0.477,0
39,44464.89,10156.86,616,11,4,0.279,1
59,68187.61,24107.32,616,21,2,0.271,0
23,47270.47,15224.1,714,7,1,0.312,0
33,61790.29,13300.57,669,25,0,0.207,0
48,42084.57,27033.71,620,16,0,0.605,1
40,36785.92,14918.67,766,9,4,0.335,0
48,56837.29,17370.92,825,26,2,0.267,0
28,17296.0,16986.19,538,6,3,0.934,1
61,49074.65,1995.21,697,18,3,0.0,0
59,22872.46,17307.29,850,24,3,0.798,0
21,70584.68,10498.46,675,5,1,0.163,0
23,76002.21,3630.77,660,20,1,0.025,0
33,37720.98,10862.9,645,23,3,0.184,0
48,63566.26,10796.89,694,23,4,0.155,0
45,72982.71,23239.06,718,27,1,0.344,0
53,73049.38,6489.68,538,27,1,0.052,0
58,59289.02,8681.22,648,18,0,0.089,0
26,69686.09,16883.11,446,17,0,0.236,1
64,42013.37,4393.65,631,14,4,0.121,0
52,56662.45,9727.95,569,1,1,0.072,0
41,45657.93,1684.19,681,13,1,0.105,0
36,40324.24,22360.09,501,20,2,0.492,1
41,55721.27,12589.1,604,9,4,0.205,0
31,61950.61,14872.66,737,27,4,0.299,0
57,78270.18,22328.08,589,15,2,0.292,0
56,60303.11,9221.85,479,6,2,0.208,0
55,67838.61,12504.1,673,7,0,0.262,0
39,68065.66,6549.38,597,9,4,0.023,0
40,108750.69,6531.97,633,14,4,0.105,0
38,18799.35,7635.34,584,7,2,0.472,1
61,41241.32,11060.08,828,12,3,0.249,0
34,84481.12,11921.64,510,11,3,0.126,0
35,47959.74,17309.06,850,7,0,0.265,0
51,72716.06,7870.26,615,14,3,0.147,0
21,59600.19,17557.06,667,25,3,0.168,0
23,97104.05,18880.01,598,11,3,0.243,0
36,32738.91,11257.42,595,10,1,0.273,0
43,79436.01,8562.2,579,18,0,0.177,0
31,89991.63,15680.63,704,13,2,0.194,0
32,34711.62,13376.66,523,26,3,0.436,1
30,70657.4,16762.81,683,17,1,0.197,0
52,35690.04,27558.93,453,12,3,0.706,1
36,55603.23,15549.1,675,3,1,0.191,0
28,49868.24,9886.16,726,16,0,0.253,0
58,15000.0,7872.88,535,18,3,0.558,1
32,63484.69,8182.39,711,26,1,0.164,0
44,57866.78,3297.87,655,8,4,0.072,0
48,84581.58,22461.95,794,22,4,0.293,0
28,67222.87,1000.0,573,6,1,0.0,0
48,100817.68,18904.84,850,0,3,0.206,0
56,57140.85,8055.49,435,6,3,0.098,0
46,52889.4,10900.76,620,25,0,0.189,0
28,51312.87,7816.1,497,6,0,0.304,1
48,46208.23,26566.92,817,19,2,0.577,0
48,15000.0,15130.52,626,6,0,0.91,1
57,50596.11,21323.03,635,7,3,0.401,1
61,15000.0,25404.21,690,15,2,1.641,1
56,64040.67,16307.24,650,2,0,0.263,0
47,30198.79,5435.01,597,12,1,0.136,0
37,37113.35,13234.86,537,9,4,0.346,1
29,41611.8,9062.02,665,17,0,0.181,0
53,50901.3,10971.97,684,6,0,0.225,0
40,55137.37,14243.01,713,20,1,0.227,0
33,76689.59,13926.75,822,20,3,0.199,0
48,43449.4,18296.87,454,29,1,0.519,1
49,64602.92,19458.43,644,4,0,0.243,0
33,109617.34,13926.84,757,22,3,0.163,0
55,62547.01,18227.75,639,24,2,0.169,0
26,51390.2,10605.12,440,26,0,0.195,0
38,39416.97,25518.24,534,23,1,0.659,1
25,51113.37,10475.91,680,21,2,0.168,0
45,37275.59,24577.49,676,6,4,0.57,0
22,60373.23,3191.46,711,24,2,0.051,0
30,57070.88,11956.74,580,29,1,0.286,0
50,15000.0,12352.17,673,26,2,0.816,1
25,54628.84,17231.93,565,21,1,0.343,0
53,76522.93,21894.53,673,16,0,0.342,0
21,47017.76,5004.84,655,3,3,0.23,0
38,41942.06,6136.14,576,23,4,0.094,0
52,27445.98,3784.74,790,22,3,0.09,0
31,17840.16,25561.47,496,15,3,1.418,1
41,71626.99,17380.84,637,18,3,0.273,0
46,51370.43,6325.03,574,9,1,0.007,0
45,70440.43,11455.24,815,2,1,0.195,0
42,85626.47,24454.09,704,26,4,0.293,0
47,73424.95,12775.05,592,2,1,0.147,0
33,44152.55,12302.49,625,27,1,0.3,0
53,57897.35,8749.63,818,16,1,0.196,0
54,42704.54,6800.06,565,9,1,0.211,1
61,40834.23,24466.59,491,16,0,0.6,1
55,61856.3,28391.21,676,21,4,0.475,0
21,38354.12,7118.44,678,29,1,0.2,0
41,15000.0,26239.54,710,29,4,1.811,1
26,37237.04,11100.88,711,16,2,0.317,1
48,48862.38,19269.18,809,20,0,0.427,0
37,85427.97,26281.71,495,3,1,0.352,0
25,45181.25,13839.39,542,20,0,0.404,0
51,65238.48,12376.46,710,22,0,0.16,0
25,51633.84,21408.65,550,5,2,0.496,1
58,79528.1,6120.38,519,11,4,0.201,0
23,78141.93,24176.49,818,24,0,0.283,0
43,78523.5,16142.48,504,21,3,0.195,0
57,20320.33,10378.0,618,24,2,0.489,1
57,59134.48,10166.66,645,19,3,0.205,0
30,70178.77,3932.3,768,16,2,0.0,0
30,62630.77,10710.62,482,16,3,0.146,0
39,67731.93,12887.7,687,9,3,0.177,0
37,56167.02,6509.65,570,6,0,0.098,0
41,40104.32,14636.28,706,28,0,0.346,0
34,21058.05,18783.34,568,15,2,0.868,1
29,42088.61,13292.22,792,28,4,0.355,0
21,108562.2,20301.81,569,12,0,0.214,0
33,45286.98,8542.88,428,2,0,0.274,1
24,15812.2,23027.06,579,1,1,1.495,1
21,69652.99,15974.52,626,15,0,0.174,0
60,72109.2,27362.06,747,29,4,0.371,0
52,80746.49,34313.74,537,5,1,0.411,0
54,64419.57,11238.05,539,5,3,0.187,0
48,71912.03,11567.49,736,12,3,0.216,0
51,91804.34,13030.06,526,6,1,0.151,0
28,40090.53,19765.62,634,4,1,0.502,1
59,36122.99,25607.76,636,23,1,0.709,1
46,33108.27,9777.53,670,6,2,0.336,1
54,49684.61,18049.95,583,1,4,0.335,1
23,83668.45,13912.58,567,16,4,0.093,0
32,65561.37,19944.87,680,12,3,0.336,1
21,64773.84,27075.66,569,29,3,0.437,1
64,18613.84,13077.37,528,24,3,0.769,1
25,41136.26,1641.06,761,20,0,0.0,0
50,18286.85,20951.21,694,27,3,1.141,1
50,78424.92,8338.36,809,26,1,0.112,0
37,86712.93,13855.07,721,20,3,0.084,0
43,70591.33,21296.25,536,27,1,0.297,0
35,35264.28,17379.16,659,15,2,0.552,1
57,84640.45,14186.24,559,25,0,0.272,0
41,49934.9,10392.95,501,19,0,0.257,1
34,30710.81,1000.0,610,1,4,0.016,0
22,35711.91,20586.57,738,4,2,0.64,1
31,46396.87,12976.39,675,17,1,0.325,0
59,55991.57,27106.69,525,27,2,0.46,0
58,51773.12,18184.22,607,6,0,0.322,1
54,26746.63,10671.0,637,10,1,0.391,0
58,79266.33,23534.96,498,24,2,0.244,0
54,51987.88,24209.04,714,24,0,0.45,0
38,40724.92,13247.75,629,10,1,0.35,0
50,77206.05,24549.16,525,21,1,0.37,0
35,31331.88,10557.54,520,16,0,0.318,0
47,22422.2,16277.18,749,15,1,0.795,1
54,80449.75,19571.27,616,12,0,0.276,0
58,92827.76,21278.25,757,21,3,0.264,0
53,45758.08,19972.17,791,4,3,0.391,0
44,54080.6,12338.74,742,19,1,0.319,0
35,32066.71,23749.58,602,15,1,0.768,1
50,55109.85,14004.58,425,27,0,0.237,0
62,45485.89,10447.78,678,21,1,0.204,0
37,52957.43,10565.3,838,21,4,0.184,0
25,63185.17,30519.91,647,15,3,0.432,0
49,33037.09,9064.13,471,15,1,0.324,1
24,47763.77,25333.08,589,13,1,0.485,0
30,18924.37,5916.27,633,5,2,0.327,0
37,47900.25,18903.24,551,1,1,0.372,1
30,53131.32,17376.67,419,13,4,0.361,1
37,59579.65,27969.82,641,15,3,0.51,1
40,59791.53,9764.78,579,22,2,0.131,0
44,73078.46,7554.69,810,29,0,0.102,0
25,24206.67,14067.92,659,19,0,0.509,1
54,25274.46,28318.41,692,12,3,1.205,1
26,65579.16,7926.73,639,14,0,0.174,0
22,15000.0,1000.0,658,11,4,0.0,0
33,58666.0,15478.14,501,8,1,0.22,0
63,31394.14,22596.18,556,25,3,0.713,1
63,86456.29,6889.55,748,17,2,0.082,0
31,60009.05,21783.46,669,20,1,0.329,0
43,50616.88,6712.71,614,13,0,0.075,0
36,79554.42,13827.53,694,19,0,0.194,0
51,33731.96,21021.46,696,24,2,0.71,1
31,37531.81,5500.28,829,3,4,0.149,0
36,29770.9,16452.11,665,7,2,0.538,1
28,37699.22,24719.79,554,7,3,0.636,1
24,56222.31,18791.47,640,21,2,0.279,0
60,64879.04,9234.99,705,21,0,0.109,0
24,74228.43,27149.75,740,15,4,0.423,0
45,18505.52,20267.14,505,26,4,0.992,1
23,51562.74,1000.0,673,23,2,0.023,0
52,32836.71,21913.95,569,27,3,0.669,1
23,50894.26,10429.01,599,28,0,0.211,0
47,101683.27,16572.51,726,27,1,0.199,0
49,60837.24,23064.03,717,9,4,0.382,0
52,72989.3,10603.16,589,24,2,0.123,0
39,94213.83,1835.26,636,20,3,0.0,0
41,77547.16,27044.36,602,26,3,0.414,0
25,46041.71,24316.67,850,16,0,0.58,0
38,29483.36,14301.95,675,0,4,0.629,1
48,54397.11,21827.37,574,17,0,0.387,0
62,43645.88,12044.91,769,9,1,0.244,0
42,24509.57,15775.76,772,25,1,0.666,1
41,59818.5,13845.7,811,20,1,0.253,0
26,60317.73,12368.45,838,3,3,0.237,0
21,90382.33,17874.42,714,0,4,0.24,0
25,47764.74,5334.57,619,3,0,0.143,0
61,60602.43,12987.35,632,3,0,0.268,0
32,41690.29,17515.84,624,25,1,0.481,0
46,72463.39,29704.81,614,3,4,0.471,0
54,52507.64,5659.73,762,16,4,0.0,0
34,31548.17,19164.42,650,8,2,0.619,1
46,54730.56,20041.19,737,29,4,0.32,0
47,62810.46,1000.0,711,18,4,0.069,0
29,60105.47,18284.26,551,12,0,0.19,0
46,75917.93,22042.28,495,3,4,0.364,0
42,26038.87,19709.22,539,4,4,0.714,1
50,38145.15,14328.58,612,28,0,0.321,0
63,67795.75,17665.92,662,12,4,0.278,0
37,40494.62,16358.76,592,22,0,0.385,0
46,59809.42,1484.34,713,15,2,0.114,0
56,15000.0,16546.56,603,21,3,1.171,1
21,109318.93,12063.44,673,4,0,0.085,0
28,49605.63,9361.42,661,7,0,0.241,0
55,78879.13,34879.76,806,15,4,0.415,0
35,48262.04,25020.93,562,29,0,0.491,0
42,63293.97,5798.62,849,0,1,0.127,0
34,84838.39,17773.09,597,22,1,0.282,0
46,78316.12,26664.2,529,27,2,0.318,0
48,50910.9,3030.41,630,5,0,0.041,0
43,52294.91,15615.87,850,10,4,0.314,0
34,75071.33,15992.58,731,15,4,0.168,0
44,101664.89,4804.06,704,4,3,0.126,0
22,58845.65,18036.4,722,15,2,0.261,0
46,94141.27,23929.97,581,6,4,0.223,0
34,50171.71,27064.38,679,18,3,0.628,1
27,74039.21,13005.09,650,0,4,0.186,0
23,77023.12,35013.16,813,8,3,0.552,0
43,46800.79,1000.0,640,17,1,0.01,0
63,40058.44,17849.73,616,12,1,0.572,1
38,77907.78,3701.65,545,25,4,0.078,0
58,44368.86,15721.46,663,14,2,0.317,0
55,37113.0,10824.75,676,2,0,0.253,0
35,41320.81,19055.02,542,23,2,0.388,0
45,44287.73,13984.95,691,27,2,0.248,0
57,72132.34,8392.13,671,9,0,0.083,0
48,65300.85,8917.67,741,8,1,0.087,0
30,69313.16,30459.68,759,12,1,0.311,0
59,63427.6,18548.19,658,15,0,0.335,0
37,43123.2,1382.97,557,2,3,0.071,0
59,68942.06,19406.3,575,21,2,0.297,0
42,78649.08,13442.59,809,22,4,0.114,0
46,66690.06,15036.81,665,14,1,0.308,0
64,63993.12,21559.11,807,16,4,0.328,0
45,39658.91,24465.82,695,13,0,0.575,1
37,59236.34,8129.5,718,6,4,0.149,0
33,38595.17,14762.07,734,19,4,0.391,1
40,54519.44,10631.11,540,15,2,0.07,0
45,22194.67,19774.9,678,20,0,0.889,1
24,22348.83,13141.56,539,7,4,0.594,1
30,51179.05,15234.01,624,3,1,0.279,0
23,44031.21,12837.79,708,19,0,0.225,0
61,57135.74,14151.04,558,23,1,0.183,0
38,52304.63,28637.21,700,14,3,0.573,0
56,55603.82,34126.13,515,4,4,0.652,1
42,67172.15,18016.74,753,12,0,0.246,0
54,45734.62,14200.24,590,5,1,0.33,0
28,50611.12,2234.91,558,27,4,0.021,0
60,84100.42,8916.65,521,26,2,0.063,0
64,55061.68,13986.11,598,29,1,0.265,0
39,51415.79,9279.49,478,4,1,0.123,0
62,56650.25,10120.79,601,16,3,0.273,0
61,51772.71,27603.12,749,6,2,0.461,0
57,40808.55,15230.33,633,5,3,0.387,1
26,35039.4,15945.7,544,1,2,0.463,1
46,39731.37,9606.48,670,10,1,0.245,0
54,72458.38,24420.36,662,6,3,0.411,1
26,42401.89,13299.37,826,21,4,0.179,0
57,51901.51,10833.09,721,20,2,0.229,0
53,69014.73,2353.99,678,7,1,0.02,0
42,49432.18,14511.18,731,4,0,0.323,0
41,67667.23,10583.54,638,26,2,0.159,0
26,24184.14,28476.64,643,17,2,1.174,1
26,52349.67,29751.19,799,21,4,0.508,0
24,56577.92,5117.76,503,15,2,0.057,0
50,55462.77,6022.77,737,13,2,0.265,0
31,21941.63,12789.44,640,11,4,0.613,1
50,79062.25,8471.7,624,16,4,0.16,0
51,37906.54,16739.33,600,4,3,0.424,1
44,61700.74,12387.01,664,13,1,0.158,0
29,55159.29,17244.26,646,5,1,0.351,0
23,75074.19,23128.75,613,14,3,0.213,0
51,98749.78,6486.23,587,6,1,0.033,0
60,29192.71,22961.69,479,13,2,0.769,1
57,42021.72,9170.78,585,17,3,0.265,1
56,58781.85,32187.86,604,0,3,0.568,1
44,32892.93,27967.81,664,5,1,0.827,1
51,70643.65,14095.36,827,2,0,0.218,0
26,71867.45,7291.33,595,4,1,0.086,0
22,66188.98,5761.07,558,11,0,0.141,0
40,59731.64,21989.03,586,10,3,0.38,1
48,82394.18,14756.78,664,12,0,0.266,0
31,31887.49,22414.94,703,15,2,0.689,1
24,56305.36,32633.83,716,17,4,0.641,0
35,40223.94,8836.94,724,16,0,0.224,0
26,72798.33,5158.89,737,16,4,0.036,0
50,18333.18,16540.48,625,28,2,1.032,1
58,54438.32,24158.08,835,10,4,0.509,0
22,61704.77,7476.32,618,19,2,0.133,0
35,36050.16,15277.0,660,9,4,0.462,0
31,42476.2,25960.35,767,28,4,0.557,1
28,55307.58,1936.98,701,15,1,0.0,0
46,74101.93,16882.54,448,1,0,0.284,0
64,34342.62,10679.18,651,16,4,0.311,0
25,37831.0,15993.25,728,21,3,0.415,0
26,77511.76,20678.27,529,29,1,0.252,0
46,49540.49,16766.47,718,19,0,0.346,0
24,39449.22,6918.22,685,9,1,0.163,0
39,69573.7,10990.03,757,12,0,0.056,0
40,45236.06,26412.74,588,11,2,0.655,1
53,75548.43,17631.46,740,14,4,0.228,0
40,41725.59,21722.55,664,6,3,0.612,1
32,51808.11,17002.36,809,26,1,0.24,0
21,73899.43,21472.93,850,21,1,0.202,0
46,50474.78,11830.83,788,20,1,0.221,0
34,70121.07,8859.91,693,25,1,0.175,0
58,53689.05,21109.58,850,27,4,0.332,0
57,94633.84,24018.99,704,12,0,0.191,0
31,86375.57,7685.75,568,11,4,0.108,0
56,28438.07,10392.44,646,11,2,0.35,0
33,65444.87,13694.19,719,27,4,0.236,0
63,38671.92,27958.6,724,1,4,0.708,1
23,58830.14,19505.08,549,4,2,0.351,1
53,56367.41,4407.31,552,24,4,0.146,0
26,33892.26,14256.14,619,24,0,0.36,0
30,76169.69,13032.97,698,1,3,0.23,0
25,59066.06,5613.84,710,22,2,0.01,0
43,49306.34,14161.66,663,25,1,0.318,0
30,46237.8,12679.7,575,29,0,0.345,0
64,57795.54,12106.94,806,19,3,0.183,0
22,63158.5,11740.95,554,12,0,0.218,0
33,52500.48,26771.15,767,28,0,0.486,0
60,15000.0,12090.38,716,2,1,0.835,1
22,55337.81,15397.37,765,10,3,0.165,0
40,26170.36,14529.88,610,15,0,0.563,1
21,50810.95,10959.87,637,0,1,0.235,0
57,26908.71,15636.04,655,18,2,0.648,1
29,26670.05,15522.8,607,10,1,0.628,1
37,79702.44,15638.05,670,8,4,0.188,0
29,48598.16,8126.13,792,13,1,0.181,0
31,47066.76,13351.0,533,8,1,0.211,1
35,64650.48,21082.58,591,6,1,0.408,0
44,47588.19,13561.47,581,15,0,0.32,0
58,97076.12,16294.26,642,2,3,0.075,0
55,49539.6,16336.3,638,28,1,0.342,0
50,62302.51,18339.16,720,18,1,0.31,0
51,74418.83,19469.21,653,3,4,0.223,0
25,87045.06,13606.8,677,6,4,0.161,0
64,40159.88,7709.32,686,22,2,0.148,0
34,46640.73,5250.28,672,27,2,0.042,0
31,80491.84,23141.49,713,11,4,0.257,0
29,71201.25,21162.0,639,29,3,0.306,0
54,76503.52,20194.92,798,17,2,0.31,0
32,27625.91,21489.63,850,27,3,0.781,1
55,85960.0,13707.55,714,4,4,0.206,0
55,39771.85,10000.99,671,22,2,0.284,0
21,58845.86,7156.74,706,22,1,0.07,0
60,52035.54,6285.2,551,21,4,0.153,0
42,37430.34,24697.27,666,25,2,0.693,1
49,26749.28,11054.84,584,9,3,0.5,1
28,20123.04,23438.87,696,11,3,1.185,1
31,57380.37,13504.91,585,7,2,0.174,1
61,24493.62,9590.07,619,18,3,0.364,1
57,32323.69,6245.08,482,14,2,0.101,0
34,50639.28,10294.77,544,0,2,0.229,0
50,15000.0,26345.91,682,2,3,1.839,1
55,70579.59,6326.32,572,26,0,0.0,0
41,15000.0,31933.97,746,17,1,2.0,1
57,53452.55,8275.14,564,17,4,0.18,0
25,55300.38,20999.6,691,29,1,0.326,0
39,65761.23,13837.99,581,29,4,0.223,0
34,54166.38,12435.52,685,1,4,0.177,0
46,95358.16,4828.63,512,4,1,0.073,0
24,59326.34,14212.86,609,28,2,0.243,0
45,76072.25,5733.71,574,0,3,0.092,0
62,40530.74,1547.38,729,9,0,0.0,0
45,57415.14,15956.79,692,19,0,0.239,0
38,85951.4,9916.62,539,29,0,0.14,0
60,50246.1,28474.79,632,9,1,0.542,0
28,58844.7,23000.17,580,4,1,0.398,0
59,74617.07,28579.46,736,17,2,0.406,0
60,40155.41,9552.94,764,20,0,0.227,0
34,15000.0,16089.1,520,25,2,1.13,1
52,60111.47,1000.0,724,14,0,0.007,0
58,74773.38,12745.58,576,19,1,0.16,0
53,27971.08,15787.99,627,7,3,0.533,1
43,68404.4,16232.38,653,16,3,0.289,0
35,68539.33,14661.05,813,11,3,0.179,0
53,15000.0,15532.74,560,20,3,1.098,1
45,36274.23,1000.0,725,29,4,0.036,0
37,47083.42,17049.77,545,29,0,0.496,1
53,51407.52,18867.52,538,26,3,0.334,0
22,40137.31,25704.2,653,11,4,0.704,1
34,39059.94,17949.9,652,25,4,0.485,0
60,88429.66,13954.1,395,0,4,0.132,0
60,52848.82,23839.54,754,25,2,0.477,0
59,41099.13,1000.0,457,25,2,0.048,0
26,54176.61,10880.41,637,3,4,0.184,1
26,65741.82,8873.52,769,7,3,0.156,0
23,56032.53,14723.83,849,0,0,0.321,0
27,50885.45,1000.0,617,26,1,0.045,0
28,41999.67,25557.09,521,14,2,0.588,1
62,41757.38,13001.52,766,17,3,0.288,0
35,43043.83,17550.37,728,0,3,0.403,1
49,61776.29,16784.73,606,10,1,0.327,0
53,35116.4,25099.92,595,22,1,0.677,1
50,62865.38,1000.0,585,1,3,0.036,0
59,83259.9,15898.57,619,0,1,0.113,0
47,61514.15,24169.43,678,11,3,0.423,0
56,47608.29,14216.11,599,15,1,0.336,0
49,29037.46,7389.84,610,21,1,0.356,1
58,86562.14,10168.88,708,21,3,0.164,0
53,31599.65,11856.46,517,9,4,0.355,1
57,71971.24,9231.6,616,17,3,0.052,0
47,67770.36,13777.51,499,14,0,0.229,1
53,50264.63,27065.98,660,16,1,0.522,0
24,49740.42,10221.08,475,29,2,0.222,0
42,18285.77,11098.61,730,9,1,0.571,1
22,61601.3,18678.24,532,2,0,0.295,1
30,67398.53,13601.44,490,25,2,0.117,0
25,33218.4,4366.52,617,29,2,0.079,0
30,51883.57,14510.49,804,20,3,0.22,0
53,55757.24,14208.87,714,15,4,0.298,0
58,66691.45,22805.43,477,5,3,0.301,0
33,55076.06,7222.78,529,2,2,0.2,0
51,22473.61,22858.56,614,8,2,0.976,1
56,44401.24,14217.35,850,10,4,0.425,0
44,59492.52,6136.47,565,20,1,0.006,0
35,71830.57,4529.77,566,12,4,0.084,0
49,42647.27,30475.11,787,17,3,0.717,0
28,98753.0,13720.67,668,25,1,0.078,0
25,17110.54,22492.03,745,21,3,1.287,1
49,43726.0,1335.04,585,27,4,0.017,0
24,53339.33,36101.56,641,23,1,0.689,0
32,50985.02,22145.96,768,26,4,0.388,0
22,30357.15,12956.48,637,21,0,0.448,1
47,63957.23,12550.67,751,3,2,0.202,0
51,62421.88,20876.79,685,21,1,0.373,0
56,55959.23,20417.45,556,23,2,0.322,1
56,61636.88,16460.23,649,7,0,0.247,0
46,46524.47,15087.03,738,12,1,0.396,0
63,22652.74,19488.54,710,9,2,0.815,1
47,40667.2,1066.37,646,1,2,0.0,0
25,58141.09,12029.8,480,7,1,0.175,0
40,58254.89,1825.09,488,5,2,0.0,0
31,55827.58,19836.74,508,15,2,0.439,1
30,65974.17,9593.49,604,17,1,0.131,0
60,43377.08,2427.38,616,16,2,0.042,0
58,55533.62,8649.71,517,5,2,0.193,0
26,66441.86,16194.85,742,12,3,0.207,0
28,53302.2,13358.17,536,22,3,0.24,0
43,30133.52,5614.75,527,13,0,0.149,0
46,35770.23,1361.05,658,29,3,0.0,0
63,71617.05,15591.46,738,25,3,0.22,0
32,82849.44,10353.86,835,20,0,0.176,0
46,78505.66,12935.35,702,29,2,0.169,0
33,59643.12,13722.52,792,9,2,0.276,0
60,30937.35,18440.53,541,23,3,0.541,1
38,54872.97,21775.57,844,10,0,0.359,0
45,86245.1,16172.07,482,12,2,0.123,0
53,67369.77,12436.3,605,11,4,0.203,0
60,50850.45,15198.11,700,8,1,0.283,1
63,67572.5,12286.1,506,3,1,0.164,0
32,29612.1,1859.57,567,6,1,0.096,0
64,41086.57,23735.57,552,23,3,0.554,1
56,33316.17,22227.51,622,28,1,0.721,1
24,64391.44,30906.67,778,21,1,0.492,0
25,69282.07,33243.99,652,1,4,0.462,0
57,51923.48,5591.84,608,6,2,0.03,0
28,37541.41,12316.8,390,28,4,0.361,1
62,54605.02,35092.32,692,8,3,0.657,1
48,45268.4,14675.6,721,4,1,0.341,1
51,39076.59,16953.69,497,14,2,0.452,1
29,61779.87,2830.96,644,17,1,0.019,0
49,39840.16,16202.31,667,3,1,0.399,0
34,23673.01,30455.52,737,18,3,1.264,1
60,28117.71,25293.01,585,19,1,0.962,1
61,22934.79,10120.12,571,25,0,0.428,0
42,59950.24,11829.47,609,6,2,0.166,0
31,58008.11,5952.8,766,25,2,0.169,0
43,57010.4,8190.69,744,7,0,0.204,0
21,66754.63,1000.0,648,16,3,0.027,0
57,78839.18,14321.44,742,12,1,0.175,0
41,43154.67,27080.89,437,23,1,0.609,1
46,63129.55,17843.46,721,20,2,0.28,0
56,23407.69,25929.91,549,27,3,1.064,1
43,82574.19,23586.0,809,22,3,0.31,0
21,30103.38,10625.54,554,10,3,0.436,1
60,40798.38,8923.95,573,26,1,0.247,0
35,43045.81,9230.52,701,0,3,0.159,0
41,24474.58,1263.5,709,1,0,0.074,0
29,55651.51,15258.64,610,16,4,0.284,0
29,59278.08,1000.0,683,4,3,0.039,0
30,51211.73,19731.32,695,29,4,0.344,0
46,24195.05,15575.05,685,29,1,0.644,1
61,94667.72,18771.52,614,5,3,0.242,0
55,65984.62,23456.13,695,25,2,0.302,0
45,107684.44,16590.36,777,24,1,0.132,0
46,38897.82,28052.57,540,23,0,0.707,1
31,74157.64,19975.57,574,6,0,0.319,0
58,70585.48,8942.99,652,27,4,0.184,0
22,49188.5,13098.31,555,20,4,0.171,0
27,83221.02,1000.0,488,29,2,0.062,0
38,46891.8,7782.48,748,14,2,0.225,0
47,47782.17,11952.03,449,18,0,0.306,0
54,15000.0,19370.19,614,15,3,1.265,1
47,63180.56,8997.11,718,24,0,0.131,0
37,28489.8,5029.89,674,12,0,0.098,0
63,43985.58,1000.0,615,4,2,0.0,0
64,34475.61,10228.66,551,2,4,0.279,0
44,47675.37,30606.81,681,2,2,0.646,1
45,63877.6,17168.86,561,18,2,0.278,0
27,55222.83,22516.64,674,13,2,0.449,0
26,69192.83,7799.57,663,15,0,0.266,0
44,80312.59,2412.4,664,21,3,0.01,0
53,47624.08,5231.38,592,16,0,0.057,0
49,45428.66,14222.95,833,26,1,0.34,0
63,74154.55,1000.0,682,3,2,0.025,0
42,75740.95,6947.28,625,12,2,0.063,0
46,69811.82,10309.11,674,7,1,0.193,0
48,35956.42,4432.6,580,18,2,0.083,0
41,63453.1,1000.0,615,4,2,0.009,0
27,57189.41,17317.23,850,1,2,0.299,0
37,76050.58,15366.97,581,14,1,0.155,0
40,43542.56,21232.24,643,1,0,0.402,0
61,21667.79,6116.59,609,10,2,0.293,0
40,68804.74,21079.38,556,12,3,0.375,0
42,15000.0,27234.43,688,22,1,1.864,1
48,40369.73,17097.72,653,9,4,0.475,1
60,34536.09,10120.51,732,2,1,0.253,0
27,34401.31,16160.65,723,4,0,0.48,0
21,40019.37,9737.7,731,2,1,0.172,0
52,79347.47,8405.73,567,5,4,0.114,0
33,71411.11,20466.08,708,12,3,0.356,1
50,49965.39,13887.6,710,9,4,0.349,0
43,77672.47,24640.77,558,18,1,0.419,0
39,33754.06,11460.62,621,7,4,0.389,0
52,31034.33,12270.6,519,17,1,0.419,1
50,72271.93,10467.91,710,2,3,0.189,0
49,66592.86,6038.53,710,23,3,0.125,0
49,45794.73,21515.4,779,23,0,0.429,0
50,32290.78,32485.69,629,16,3,0.93,1
36,84194.64,11942.18,691,7,2,0.186,0
60,20597.95,9556.03,739,9,4,0.569,1
39,43031.48,9037.41,582,1,4,0.256,0
38,59571.53,9562.13,568,11,1,0.066,0
21,91043.3,28198.27,585,22,3,0.284,0
34,62662.0,9252.16,619,5,0,0.138,0
22,64606.09,10317.87,572,1,0,0.067,0
48,43612.33,5077.17,589,20,0,0.048,0
50,66369.6,17349.19,729,22,2,0.26,0
58,57106.19,14462.16,641,23,3,0.266,0
24,23230.71,5902.57,678,2,0,0.205,0
21,70858.7,7857.36,600,16,2,0.04,0
28,74407.87,27263.47,595,28,4,0.426,0
49,71067.3,15261.66,676,6,1,0.196,0
59,55666.56,15813.48,661,28,3,0.272,0
